PM2.5,PM10,O3,NO2,SO2,CO,temperature,humidity,Hour,DayOfWeek,Is_Weekend,Month,Is_Heating,temperature_lag1,temperature_lag2,temperature_lag3,humidity_lag1,humidity_lag2,humidity_lag3,PM2.5_lag1,PM2.5_lag2,PM2.5_lag3,PM10_lag1,PM10_lag2,PM10_lag3,O3_lag1,O3_lag2,O3_lag3,NO2_lag1,NO2_lag2,NO2_lag3,SO2_lag1,SO2_lag2,SO2_lag3,CO_lag1,CO_lag2,CO_lag3,temp_rolling3_mean,humid_rolling3_mean,temp_rolling6_diff
-0.7216692112657529,-0.75777433474432,-1.9506941523493535,-0.5848699035149648,0.49806587438831695,1.3217576454543745,-2.2875078474985995,-2.3899086405958383,5,3,0,1,1,-2.2517805139083285,-2.2162353834992548,-2.1650077445877374,-2.3859884381222582,-2.3149788588286486,-2.2441306916350072,-0.7835163020746806,-0.9077445605127702,-1.031811287796455,-0.8488533149070442,-0.9397988037848544,-1.0763853657051434,-1.8954384821429948,-1.8403732450442825,-1.7855178084624448,-0.6512585715159381,-0.7175723062802877,-0.8497707966451996,0.4974257865275588,0.49678570085222384,0.49614561636311577,1.3206436860192852,0.956676657553495,0.9557947767333007,-2.2759504686162875,-2.427103572029038,-1.130288687688052
-0.7841860394355119,-0.8036420307972343,-1.9506941523493535,-0.6509208967567156,0.49806587438831695,1.3217576454543745,-2.3034733353435466,-2.457221216092581,6,3,0,1,1,-2.2836761764008475,-2.2480975079071124,-2.2127548466471807,-2.3859884381222582,-2.382167314366571,-2.3112534930440285,-0.7210043253410459,-0.7827343549961445,-0.9068170393632953,-0.7571313810154195,-0.8480924415245568,-0.9388523152837597,-1.9480753095255612,-1.8929720667781424,-1.838078928001563,-0.5851950785175207,-0.6514998786766021,-0.7176223663532889,0.4974257865275588,0.49678570085222384,0.49614561636311577,1.3206436860192852,1.3198095578502091,0.9557947767333007,-2.3028155451353913,-2.4731417313358897,-1.2470600907574585
-0.971736523944789,-0.9412451189559772,-1.845342350832208,-0.849073876481968,0.49806587438831695,0.9587373290722555,-2.2396113839637573,-2.3899086405958383,7,3,0,1,1,-2.2996240076471075,-2.2799596323149705,-2.2445862480201426,-2.453238919507373,-2.382167314366571,-2.3783762944530498,-0.7835163020746806,-0.7202292522378317,-0.7818227909301358,-0.8029923479612319,-0.7563860792642592,-0.8471636150028372,-1.9480753095255612,-1.9455708885120027,-1.8906400475406815,-0.6512585715159381,-0.5854274510729164,-0.6515481512073336,0.4974257865275588,0.49678570085222384,0.49614561636311577,1.3206436860192852,1.3198095578502091,1.318976577691531,-2.2974425298315704,-2.4731417313358897,-1.3638314938268647
-1.2218038366238253,-1.1705835992205487,-1.6873146485564898,-1.1132778494489712,0.49806587438831695,0.595717012690137,-2.04802552982439,-2.1879709141056116,8,3,0,1,1,-2.235832682662069,-2.2958906945188993,-2.276417649393105,-2.3859884381222582,-2.449355769904493,-2.3783762944530498,-0.9710522322755848,-0.7827343549961445,-0.719325666713556,-0.9405752487986688,-0.802239260394408,-0.7554749147219146,-1.8428016547604287,-1.9455708885120027,-1.9432011670798,-0.8494490505111901,-0.6514998786766021,-0.5854739360613782,0.4974257865275588,0.49678570085222384,0.49614561636311577,0.957559295932881,1.3198095578502091,1.318976577691531,-2.2168473002742592,-2.4040844923756133,-1.0524410856417814
-1.5969048056423796,-1.537525167643863,-1.3712592440050533,-1.509583808899476,-1.1489126918405357,0.2326966963080185,-1.6967847972355494,-1.8514080366219001,9,3,0,1,1,-2.044458707706953,-2.232166445703184,-2.292333350079586,-2.184236993966914,-2.382167314366571,-2.445499095862071,-1.2211001392101237,-0.970249663271083,-0.7818227909301358,-1.1698800835277303,-0.9397988037848544,-0.8013192648623759,-1.6848911726127298,-1.8403732450442825,-1.9432011670798,-1.1137030225048594,-0.8497171614876591,-0.6515481512073336,0.4974257865275588,0.49678570085222384,0.49614561636311577,0.5944749058464774,0.956676657553495,1.318976577691531,-2.0126727187290716,-2.1969127754947837,-0.19611746313280137
-1.9720057746609339,-1.9044667360671772,-1.002527938695044,-1.9058897683499807,-1.1489126918405357,-0.1303236200741004,-1.3295785768017616,-1.4475325836414465,10,3,0,1,1,-1.6936064202892414,-2.040993699256037,-2.228670547333662,-1.8479845870413396,-2.1806019477528036,-2.3783762944530498,-1.596171999611932,-1.2202700743043342,-0.9693141635798751,-1.5367678190942289,-1.1690647094355984,-0.9388523152837597,-1.3690702083173323,-1.682576779842702,-1.838078928001563,-1.5100839804953636,-1.1140068719024019,-0.8497707966451996,-1.1499628398217756,0.49678570085222384,0.49614561636311577,0.23139051576007372,0.5935437572567812,0.9557947767333007,-1.7064108464112897,-1.8746456603468262,0.6991299603993139
-2.2845899155097293,-2.2255406084375773,-0.6864725341436078,-2.2361447345587346,-1.1489126918405357,-0.49334393645621893,-0.9783378442129209,-1.0436571306609927,11,3,0,1,1,-1.3268063016252698,-1.6905103307696012,-2.0376821390958892,-1.4444816987306506,-1.8446596700631916,-2.177007890225986,-1.9712438600137403,-1.5953006908542111,-1.219302660446194,-1.9036555546607274,-1.5358901584767888,-1.168074065986066,-1.0006124166393684,-1.3669838494395412,-1.6803955693842079,-1.9064649384858676,-1.5104414375245159,-1.114067657229021,-1.1499628398217756,-1.1510142545899207,0.49614561636311577,-0.1316938743263304,0.23041085696006736,0.5926129757750708,-1.3464188210553008,-1.4833213062385928,1.555453582908294
-2.5346572281887654,-2.4548790887021488,-0.3704171295921713,-2.434297714283987,-1.1489126918405357,-0.8563642528383374,-0.722890038693764,-0.7744068286740237,12,3,0,1,1,-0.9759540142075581,-1.3240959000792367,-1.687536723993306,-1.0409788104199618,-1.4415289368356572,-1.8413938831808792,-2.2838037436819136,-1.970331307404088,-1.5942854057456726,-2.2246823232814137,-1.9027156075179792,-1.534828867109756,-0.6847914523439709,-0.9987920973025203,-1.3650288521494975,-2.2367824034779544,-1.90687600314663,-1.510512948104753,-1.1499628398217756,-1.1510142545899207,-1.1520669396906251,-0.4947782644127341,-0.13272204333664683,0.22943117481684078,-1.018664887522236,-1.1150160317837845,2.022539195185919
-2.6596908845282834,-2.5924821768608917,-0.15971352655788035,-2.5663997007674886,-1.1489126918405357,-0.8563642528383374,-0.5951661359341857,-0.9090319796675081,13,3,0,1,1,-0.7207887142674041,-0.973612531592801,-1.321475608204242,-0.7719768848795024,-1.0383982036081227,-1.4386570747267513,-2.5338516506164526,-2.282856821195652,-1.969268151045151,-2.4539871580104755,-2.223687875429021,-1.901583668233446,-0.36897048804857335,-0.6831991668993594,-0.9971010153756689,-2.434972882473206,-2.2372381411650584,-1.906958238980485,-1.1499628398217756,-1.1510142545899207,-1.1520669396906251,-0.8578626544991378,-0.49585494363336063,-0.13375062614138955,-0.7715061835464821,-0.9308633945563807,1.8668439910933774
-2.7222077126980424,-2.6842175689667203,-0.0016858242821621396,-2.6324506940092394,-1.1489126918405357,-1.219384569220456,-0.5313041845543965,-1.0436571306609927,14,3,0,1,1,-0.593206064297327,-0.7187155363299386,-0.9713301931016589,-0.906477847649732,-0.7696443814564331,-1.0359202662726232,-2.6588756040837223,-2.5328772322289033,-2.28175377212805,-2.5915700588479123,-2.452953781079765,-2.222494119216675,-0.1584231785183083,-0.3676062364961986,-0.6817342981409585,-2.567099868470041,-2.4354554239761157,-2.2373293147102618,-1.1499628398217756,-1.1510142545899207,-1.1520669396906251,-0.8578626544991378,-0.8589878439300744,-0.4969324270996195,-0.6210617550395017,-0.9308633945563807,1.1662155726769394
