PM2.5,PM10,O3,NO2,SO2,CO,temperature,humidity,Hour,DayOfWeek,Is_Weekend,Month,Is_Heating,temperature_lag1,temperature_lag2,temperature_lag3,humidity_lag1,humidity_lag2,humidity_lag3,PM2.5_lag1,PM2.5_lag2,PM2.5_lag3,PM10_lag1,PM10_lag2,PM10_lag3,O3_lag1,O3_lag2,O3_lag3,NO2_lag1,NO2_lag2,NO2_lag3,SO2_lag1,SO2_lag2,SO2_lag3,CO_lag1,CO_lag2,CO_lag3,temp_rolling3_mean,humid_rolling3_mean,temp_rolling6_diff
49.0,73.0,7.0,44.0,3.0,1.1,-7.2,43.0,5,3,0,1,1,-7.0,-6.8,-6.5,43.0,44.0,45.0,48.0,46.0,44.0,71.0,69.0,66.0,8.0,9.0,10.0,43.0,42.0,40.0,3.0,3.0,3.0,1.1,1.0,1.0,-7.0,43.333333333333336,1.4000000000000004
48.0,72.0,7.0,43.0,3.0,1.1,-7.3,42.0,6,3,0,1,1,-7.2,-7.0,-6.8,43.0,43.0,44.0,49.0,48.0,46.0,73.0,71.0,69.0,7.0,8.0,9.0,44.0,43.0,42.0,3.0,3.0,3.0,1.1,1.1,1.0,-7.166666666666667,42.666666666666664,1.0999999999999996
45.0,69.0,9.0,40.0,3.0,1.0,-6.9,43.0,7,3,0,1,1,-7.3,-7.2,-7.0,42.0,43.0,43.0,48.0,49.0,48.0,72.0,73.0,71.0,7.0,7.0,8.0,43.0,44.0,43.0,3.0,3.0,3.0,1.1,1.1,1.1,-7.133333333333333,42.666666666666664,0.7999999999999998
41.0,64.0,12.0,36.0,3.0,0.9,-5.7,46.0,8,3,0,1,1,-6.9,-7.3,-7.2,43.0,42.0,43.0,45.0,48.0,49.0,69.0,72.0,73.0,9.0,7.0,7.0,40.0,43.0,44.0,3.0,3.0,3.0,1.0,1.1,1.1,-6.633333333333333,43.666666666666664,1.5999999999999996
35.0,56.0,18.0,30.0,2.0,0.8,-3.5,51.0,9,3,0,1,1,-5.7,-6.9,-7.3,46.0,43.0,42.0,41.0,45.0,48.0,64.0,69.0,72.0,12.0,9.0,7.0,36.0,40.0,43.0,3.0,3.0,3.0,0.9,1.0,1.1,-5.366666666666667,46.666666666666664,3.8
29.0,48.0,25.0,24.0,2.0,0.7,-1.2,57.0,10,3,0,1,1,-3.5,-5.7,-6.9,51.0,46.0,43.0,35.0,41.0,45.0,56.0,64.0,69.0,18.0,12.0,9.0,30.0,36.0,40.0,2.0,3.0,3.0,0.8,0.9,1.0,-3.466666666666667,51.333333333333336,6.1
24.0,41.0,31.0,19.0,2.0,0.6,1.0,63.0,11,3,0,1,1,-1.2,-3.5,-5.7,57.0,51.0,46.0,29.0,35.0,41.0,48.0,56.0,64.0,25.0,18.0,12.0,24.0,30.0,36.0,2.0,2.0,3.0,0.7,0.8,0.9,-1.2333333333333334,57.0,8.3
20.0,36.0,37.0,16.0,2.0,0.5,2.6,67.0,12,3,0,1,1,1.0,-1.2,-3.5,63.0,57.0,51.0,24.0,29.0,35.0,41.0,48.0,56.0,31.0,25.0,18.0,19.0,24.0,30.0,2.0,2.0,2.0,0.6,0.7,0.8,0.8000000000000002,62.333333333333336,9.5
18.0,33.0,41.0,14.0,2.0,0.5,3.4,65.0,13,3,0,1,1,2.6,1.0,-1.2,67.0,63.0,57.0,20.0,24.0,29.0,36.0,41.0,48.0,37.0,31.0,25.0,16.0,19.0,24.0,2.0,2.0,2.0,0.5,0.6,0.7,2.3333333333333335,65.0,9.1
17.0,31.0,44.0,13.0,2.0,0.4,3.8,63.0,14,3,0,1,1,3.4,2.6,1.0,65.0,67.0,63.0,18.0,20.0,24.0,33.0,36.0,41.0,41.0,37.0,31.0,14.0,16.0,19.0,2.0,2.0,2.0,0.5,0.5,0.6,3.266666666666667,65.0,7.3
18.0,32.0,43.0,14.0,2.0,0.4,3.6,64.0,15,3,0,1,1,3.8,3.4,2.6,63.0,65.0,67.0,17.0,18.0,20.0,31.0,33.0,36.0,44.0,41.0,37.0,13.0,14.0,16.0,2.0,2.0,2.0,0.4,0.5,0.5,3.6,64.0,5.0
21.0,36.0,38.0,17.0,2.0,0.5,2.8,67.0,16,3,0,1,1,3.6,3.8,3.4,64.0,63.0,65.0,18.0,17.0,18.0,32.0,31.0,33.0,43.0,44.0,41.0,14.0,13.0,14.0,2.0,2.0,2.0,0.4,0.4,0.5,3.4,64.66666666666667,2.8
26.0,43.0,31.0,22.0,2.0,0.6,1.2,72.0,17,3,0,1,1,2.8,3.6,3.8,67.0,64.0,63.0,21.0,18.0,17.0,36.0,32.0,31.0,38.0,43.0,44.0,17.0,14.0,13.0,2.0,2.0,2.0,0.5,0.4,0.4,2.5333333333333337,67.66666666666667,2.5999999999999996
32.0,52.0,23.0,28.0,2.0,0.7,-0.8,78.0,18,3,0,1,1,1.2,2.8,3.6,72.0,67.0,64.0,26.0,21.0,18.0,43.0,36.0,32.0,31.0,38.0,43.0,22.0,17.0,14.0,2.0,2.0,2.0,0.6,0.5,0.4,1.0666666666666667,72.33333333333333,4.6
38.0,61.0,17.0,34.0,3.0,0.8,-2.5,83.0,19,3,0,1,1,-0.8,1.2,2.8,78.0,72.0,67.0,32.0,26.0,21.0,52.0,43.0,36.0,23.0,31.0,38.0,28.0,22.0,17.0,2.0,2.0,2.0,0.7,0.6,0.5,-0.7000000000000001,77.66666666666667,6.3
41.0,66.0,14.0,37.0,3.0,0.8,-3.8,86.0,20,3,0,1,1,-2.5,-0.8,1.2,83.0,78.0,72.0,38.0,32.0,26.0,61.0,52.0,43.0,17.0,23.0,31.0,34.0,28.0,22.0,3.0,2.0,2.0,0.8,0.7,0.6,-2.3666666666666667,82.33333333333333,7.4
43.0,69.0,12.0,39.0,3.0,0.9,-4.6,88.0,21,3,0,1,1,-3.8,-2.5,-0.8,86.0,83.0,78.0,41.0,38.0,32.0,66.0,61.0,52.0,14.0,17.0,23.0,37.0,34.0,28.0,3.0,3.0,2.0,0.8,0.8,0.7,-3.633333333333333,85.66666666666667,7.3999999999999995
45.0,71.0,11.0,41.0,3.0,0.9,-5.1,89.0,22,3,0,1,1,-4.6,-3.8,-2.5,88.0,86.0,83.0,43.0,41.0,38.0,69.0,66.0,61.0,12.0,14.0,17.0,39.0,37.0,34.0,3.0,3.0,3.0,0.9,0.8,0.8,-4.5,87.66666666666667,6.3
46.0,73.0,10.0,42.0,3.0,1.0,-5.5,90.0,23,3,0,1,1,-5.1,-4.6,-3.8,89.0,88.0,86.0,45.0,43.0,41.0,71.0,69.0,66.0,11.0,12.0,14.0,41.0,39.0,37.0,3.0,3.0,3.0,0.9,0.9,0.8,-5.066666666666666,89.0,4.7
48.0,75.0,9.0,43.0,3.0,1.0,-5.8,91.0,0,4,0,1,1,-5.5,-5.1,-4.6,90.0,89.0,88.0,46.0,45.0,43.0,73.0,71.0,69.0,10.0,11.0,12.0,42.0,41.0,39.0,3.0,3.0,3.0,1.0,0.9,0.9,-5.466666666666666,90.0,3.3
49.0,77.0,8.0,44.0,3.0,1.1,-6.1,92.0,1,4,0,1,1,-5.8,-5.5,-5.1,91.0,90.0,89.0,48.0,46.0,45.0,75.0,73.0,71.0,9.0,10.0,11.0,43.0,42.0,41.0,3.0,3.0,3.0,1.0,1.0,0.9,-5.8,91.0,2.3
50.0,78.0,7.0,45.0,3.0,1.1,-6.3,92.0,2,4,0,1,1,-6.1,-5.8,-5.5,92.0,91.0,90.0,49.0,48.0,46.0,77.0,75.0,73.0,8.0,9.0,10.0,44.0,43.0,42.0,3.0,3.0,3.0,1.1,1.0,1.0,-6.066666666666666,91.66666666666667,1.7000000000000002
51.0,80.0,7.0,46.0,3.0,1.2,-6.5,93.0,3,4,0,1,1,-6.3,-6.1,-5.8,92.0,92.0,91.0,50.0,49.0,48.0,78.0,77.0,75.0,7.0,8.0,9.0,45.0,44.0,43.0,3.0,3.0,3.0,1.1,1.1,1.0,-6.3,92.33333333333333,1.4000000000000004
52.0,81.0,6.0,47.0,3.0,1.2,-6.7,93.0,4,4,0,1,1,-6.5,-6.3,-6.1,93.0,92.0,92.0,51.0,50.0,49.0,80.0,78.0,77.0,7.0,7.0,8.0,46.0,45.0,44.0,3.0,3.0,3.0,1.2,1.1,1.1,-6.5,92.66666666666667,1.2000000000000002
52.0,81.0,5.0,47.0,3.0,1.2,-6.8,93.0,5,4,0,1,1,-6.7,-6.5,-6.3,93.0,93.0,92.0,52.0,51.0,50.0,81.0,80.0,78.0,6.0,7.0,7.0,47.0,46.0,45.0,3.0,3.0,3.0,1.2,1.2,1.1,-6.666666666666667,93.0,1.0
51.0,80.0,6.0,46.0,3.0,1.1,-6.6,92.0,6,4,0,1,1,-6.8,-6.7,-6.5,93.0,93.0,93.0,52.0,52.0,51.0,81.0,81.0,80.0,5.0,6.0,7.0,47.0,47.0,46.0,3.0,3.0,3.0,1.2,1.2,1.2,-6.699999999999999,92.66666666666667,0.7000000000000002
48.0,77.0,8.0,43.0,3.0,1.0,-6.0,90.0,7,4,0,1,1,-6.6,-6.8,-6.7,92.0,93.0,93.0,51.0,52.0,52.0,80.0,81.0,81.0,6.0,5.0,6.0,46.0,47.0,47.0,3.0,3.0,3.0,1.1,1.2,1.2,-6.466666666666666,91.66666666666667,0.7999999999999998
